Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,71.62707694862993,72.68127355425736,71.37320320125843,72.6208267211914,135480400,0.0,0.0
2020-01-03 00:00:00-05:00,71.84711001739942,72.67643886208242,71.6899497146884,71.91481018066406,146322800,0.0,0.0
2020-01-06 00:00:00-05:00,71.03470938256737,72.52653323692198,70.78324846628296,72.48784637451172,118387200,0.0,0.0
2020-01-07 00:00:00-05:00,72.49753708995398,72.75383115765004,71.92692233659784,72.1469497680664,108872000,0.0,0.0
2020-01-08 00:00:00-05:00,71.84955532116523,73.60976755896645,71.84955532116523,73.30753326416016,132079200,0.0,0.0
2020-01-09 00:00:00-05:00,74.28674110091968,75.05804331745496,74.03528757623693,74.86461639404297,170108400,0.0,0.0
2020-01-10 00:00:00-05:00,75.09916182683553,75.59966347515947,74.53096000715122,75.03387451171875,140644800,0.0,0.0
2020-01-13 00:00:00-05:00,75.35062901064134,76.66353282405201,75.23214816687168,76.63693237304688,121532000,0.0,0.0
2020-01-14 00:00:00-05:00,76.57407908177844,76.78443295716991,75.4787823612356,75.60208892822266,161954400,0.0,0.0
2020-01-15 00:00:00-05:00,75.40141301300362,76.2839356742102,74.8452974857413,75.2780990600586,121923600,0.0,0.0
2020-01-16 00:00:00-05:00,75.82209877195635,76.33227394816954,75.45941772509225,76.2210464477539,108829200,0.0,0.0
2020-01-17 00:00:00-05:00,76.47010092249148,77.06731611579798,76.16303357048375,77.06490325927734,137816400,0.0,0.0
2020-01-21 00:00:00-05:00,76.6925476967564,77.13501540190998,76.40482009407555,76.54264068603516,110843200,0.0,0.0
2020-01-22 00:00:00-05:00,77.02861598860008,77.36953706088629,76.7215486894379,76.81584930419922,101832400,0.0,0.0
2020-01-23 00:00:00-05:00,76.86905012564355,77.26557760751265,76.32018802900329,77.185791015625,104472000,0.0,0.0
2020-01-24 00:00:00-05:00,77.43240119345582,78.17710300745777,76.772319051517,76.96333312988281,146537600,0.0,0.0
2020-01-27 00:00:00-05:00,74.96858335214901,75.38203764467593,73.71612668009978,74.70020294189453,161940000,0.0,0.0
2020-01-28 00:00:00-05:00,75.5827189340282,76.98508246127517,75.48358524576821,76.81341552734375,162234000,0.0,0.0
2020-01-29 00:00:00-05:00,78.44791850299463,79.2699941203994,77.70562947444549,78.42131805419922,216229200,0.0,0.0
2020-01-30 00:00:00-05:00,77.50253703825538,78.3608793764205,77.06973551628201,78.30768585205078,126743200,0.0,0.0
2020-01-31 00:00:00-05:00,77.59682491329659,78.01995284367814,74.54063615595594,74.83561706542969,199588400,0.0,0.0
2020-02-03 00:00:00-05:00,73.5758694951839,75.79789528359555,73.072955177958,74.63006591796875,173788400,0.0,0.0
2020-02-04 00:00:00-05:00,76.2379958862273,77.28493961664756,75.83179476448423,77.09392547607422,136616400,0.0,0.0
2020-02-05 00:00:00-05:00,78.22305902038404,78.5228804217208,77.11809618158854,77.72256469726562,118826800,0.0,0.0
2020-02-06 00:00:00-05:00,77.99335327455661,78.63408832571153,77.43482504328904,78.63166809082031,105425600,0.0,0.0
2020-02-07 00:00:00-05:00,78.12997524636046,78.3796069749616,77.07085803475874,77.56285095214844,117684000,0.1925,0.0
2020-02-10 00:00:00-05:00,76.14503551271558,77.93123626708984,76.06505957583339,77.93123626708984,109348800,0.0,0.0
2020-02-11 00:00:00-05:00,78.42807806299739,78.50078345731488,77.24292836168937,77.46105194091797,94323200,0.0,0.0
2020-02-12 00:00:00-05:00,77.91185812540034,79.30543507665523,77.91185812540034,79.30059051513672,113730400,0.0,0.0
